Company,Prime Standard Sector,Ticker,Index weighting (%)1,Employees,Founded,Ticker-en
Adidas,Apparel,ADS.DE,2.0,"061,401 (2021)",1924,ADS
Airbus,Aerospace & Defence,AIR.PA,6.0,"126,495 (2021)",1970,AIR
Allianz,Financial Services,ALV.DE,7.1,"155,411 (2021)",1890,ALV
BASF,Chemicals,BAS.DE,3.5,"111,047 (2021)",1865,BAS
Bayer,Pharmaceuticals,BAYN.DE,4.8,"099,637 (2021)",1863,BAYN
Beiersdorf,Consumer goods,BEI.DE,0.9,"020,567 (2021)",1882,BEI
BMW,Automotive,BMW.DE,2.5,"118,909 (2021)",1916,BMW
Brenntag,Distribution,BNR.DE,0.9,"017,200 (2021)",1874,BNR
Commerzbank,Financial Services,CBK.DE,0.8,"040,181 (2021)",1870,CBK
Continental,Automotive,CON.DE,0.6,"190,875 (2021)",1871,CON
Covestro,Chemicals,1COV.DE,0.6,"017,909 (2021)",2015,1COV
Daimler Truck,Automotive,DTG.DE,1.1,"099,849 (2021)",2021,DTG
Deutsche Bank,Financial Services,DBK.DE,1.6,"082,969 (2021)",1870,DBK
Deutsche B̦rse,Financial Services,DB1.DE,2.7,"010,200 (2021)",1992,DB1
Deutsche Post,Logistics,DHL.DE,3.4,"592,263 (2021)",1995,DHL
Deutsche Telekom,Telecommunication,DTE.DE,6.5,"216,528 (2021)",1995,DTE
E.ON,Utilities,EOAN.DE,1.9,"078,126 (2021)",2000,EOAN
Fresenius,Healthcare,FRE.DE,0.8,"316,078 (2021)",1912,FRE
Hannover Re,Insurance,HNR1.DE,0.8,"003,346 (2021)",1966,HNR1
Heidelberg Materials,Construction Materials,HEI.DE,0.7,"051,209 (2021)",1874,HEI
Henkel,Consumer Goods,HEN3.DE,0.9,"052,450 (2021)",1876,HEN3
Infineon Technologies,Technology,IFX.DE,3.9,"050,280 (2021)",1999,IFX
Mercedes-Benz Group,Automotive,MBG.DE,4.8,"172,000 (2021)",1926,MBG
Merck,Pharmaceuticals,MRK.DE,1.8,"008,081 (2021)",1668,MRK
MTU Aero Engines,Aerospace & Defence,MTX.DE,1.0,"010,833 (2022)",1934,MTX
Munich Re,Financial Services,MUV2.DE,3.6,"040,177 (2022)",1880,MUV2
Porsche,Automotive,P911.DE,1.1,"036,996 (2021)",1931,P911
Porsche SE,Automotive,PAH3.DE,0.6,000882 (2021),2007,PAH3
Qiagen,Biotech,QIA.DE,0.8,"005,900 (2021)",1984,QIA
Rheinmetall,Aerospace & Defence,RHM.DE,,"025,486 (2022)",1889,RHM
RWE,Utilities,RWE.DE,2.2,"018,246 (2021)",1898,RWE
SAP,Technology,SAP.DE,10.1,"107,415 (2021)",1972,SAP
Sartorius,Medical Technology,SRT3.DE,0.8,"018,832 (2021)",1870,SRT3
Siemens,Industrials,SIE.DE,9.0,"303,000 (2021)",1847,SIE
Siemens Energy,Energy technology,ENR.DE,0.7,"092,000 (2021)",2020,ENR
Siemens Healthineers,Medical Equipment,SHL.DE,1.2,"066,000 (2021)",2020,SHL
Symrise,Chemicals,SY1.DE,1.1,"011,276 (2021)",2003,SY1
Volkswagen Group,Automotive,VOW3.DE,2.4,"672,800 (2021)",1937,VOW3
Vonovia,Real Estate,VNA.DE,1.1,"015,900 (2022)",2001,VNA
Zalando,E-Commerce,ZAL.DE,0.7,"017,000 (2021)",2008,ZAL
